<Name>	<Channel>	<Duration>	<URL>
Jason Mraz - Have It All (Official Video)	Jason MrazWang wen-ho	4:20	https://www.youtube.com/watch?v=BFkTu8Y1KLs&pp=gAQBiAQB8AUB	1
陸軍航空の歌 - 陸軍航空之歌	Note :Pevan	3:29	https://www.youtube.com/watch?v=72VSlCph3dw&pp=gAQBiAQB8AUB	1
太平洋行進曲	slhs0083evan	3:43	https://www.youtube.com/watch?v=UH3gZlewu7o&pp=gAQBiAQB8AUB	1
【NATIONALIST CHINESE SONG】Anthem of Whampoa Military Academy (黄埔军校校歌) w/ ENG lyrics	The 51st Divisionevan	2:01	https://www.youtube.com/watch?v=C_LoEFBKzm4&pp=gAQBiAQB8AUB	1
中央警察大學校歌	中央警察大學evan	1:47	https://www.youtube.com/watch?v=nBbxTFc69IU&pp=gAQBiAQB8AUB	1
Tiếng Gọi Công Dân—呼喚公民（南越國歌）	Chiyomi Anchovy 安丘比evan	1:08	https://www.youtube.com/watch?v=2rR059I2-Ko&pp=gAQBiAQB8AUB	1
陸上自衛隊 北部方面隊歌	Note :Pevan	3:04	https://www.youtube.com/watch?v=v0_LyEQqq5c&pp=gAQBiAQB8AUB	1
애국가(The Patriotic Song)愛國歌-大韓民國臨時政府國歌	Note :Pevan	1:05	https://www.youtube.com/watch?v=g1950PQpARw&pp=gAQBiAQB8AUB	1
조선인민군가 - 朝鮮人民軍歌	Note :Pevan	3:23	https://www.youtube.com/watch?v=R1LB9HS2vLc&pp=gAQBiAQB8AUB	1
千秋大愛	法規有聲書mp3evan	1:49	https://www.youtube.com/watch?v=OpJiXJkmeTE&pp=gAQBiAQB8AUB	1
中華雄立宇宙間—China Heroically Stands in the Universe（1915—1921年使用的中華民國國歌）	Chiyomi Anchovy 安丘比evan	1:05	https://www.youtube.com/watch?v=UgnlUr_G_TE&pp=gAQBiAQB8AUB	1
趙傳 英勇勳章 MV（中華民國國軍/國民革命軍）	「鷹」evan	4:03	https://www.youtube.com/watch?v=3bNPSnIXBJI&pp=gAQBiAQB8AUB	1
【日本軍歌】北支派遣軍の歌	RA LLevan	2:26	https://www.youtube.com/watch?v=MO4AzK0h6fI&pp=gAQBiAQB8AUB	1
亞細亞的孤兒《異域》片尾曲 - Orphans of Asia (Chinese Civil War Memorial Song)	The Victorian Chineseevan	5:31	https://www.youtube.com/watch?v=mk0sMQjh3FI&pp=gAQBiAQB8AUB	1
鋼鐵的心 蘇芮 【軍歌集中營】	軍歌集中營evan	4:30	https://www.youtube.com/watch?v=ciN0UhHkapg&pp=gAQBiAQB8AUB	1
